id,title,description,link,image_link,availability,price,sale_price,brand,gtin,product_type,google_product_category
741931/0455/2XS,FZ Forza Rio Bianco Mens Tee (Red),,https://www.onlinebadminton.co.uk/fz-forza-rio-bianco-0455-2xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20%20rio%20bianco%20piros.png?v=1577309408,in stock,42.77 GBP,17.10 GBP,FZ Forza,1000000010770,Clothing,
741931/0455/3XL,FZ Forza Rio Bianco Mens Tee (Red),,https://www.onlinebadminton.co.uk/fz-forza-rio-bianco-0455-3xl?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20%20rio%20bianco%20piros.png?v=1577309408,in stock,42.77 GBP,17.10 GBP,FZ Forza,1000000010848,Clothing,
741931/02131/2XS,FZ Forza Rio Bianco Mens Tee (Green),,https://www.onlinebadminton.co.uk/fz-forza-rio-bianco-02131-2xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20rio%20bianco%20zold.png?v=1577309408,in stock,42.77 GBP,17.10 GBP,FZ Forza,1000000016833,Clothing,
741931/02131/XS,FZ Forza Rio Bianco Mens Tee (Green),,https://www.onlinebadminton.co.uk/fz-forza-rio-bianco-02131-xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20rio%20bianco%20zold.png?v=1577309408,in stock,42.77 GBP,17.10 GBP,FZ Forza,1000000010862,Clothing,
741931/02131/S,FZ Forza Rio Bianco Mens Tee (Green),,https://www.onlinebadminton.co.uk/fz-forza-rio-bianco-02131-s?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20rio%20bianco%20zold.png?v=1577309408,in stock,42.77 GBP,17.10 GBP,FZ Forza,1000000010879,Clothing,
ER/X.LITE115CONTROL,Eye Rackets X.Lite 115 Control Squash Racket,,https://www.onlinebadminton.co.uk/eye-rackets-x-lite-115-control?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/x-lite%20115%20control.png?v=1577309408,in stock,145.41 GBP,115.46 GBP,Eye Rackets,1000000011951,Squash Rackets,
801/2/36,Victor A390-FB Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/victor-a390-fb-36?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/A390-FB%201.png?v=1577309408,in stock,85.53 GBP,42.76 GBP,Victor,1000000011692,Badminton/squash Shoes,
801/0/36,Victor A610F-JQ Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/victor-a610f-jq-36?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/A610F-JQ%201.png?v=1577309408,in stock,94.09 GBP,42.76 GBP,Victor,1000000011616,Badminton/squash Shoes,
801/1/36,Victor A610F-ID Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/victor-a610f-id-36?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/A610F-ID%201.png?v=1577309408,in stock,94.09 GBP,42.76 GBP,Victor,1000000011661,Badminton/squash Shoes,
801/1/37,Victor A610F-ID Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/victor-a610f-id-37?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/A610F-ID%201.png?v=1577309408,in stock,94.09 GBP,42.76 GBP,Victor,1000000011678,Badminton/squash Shoes,
801/1/37.5,Victor A610F-ID Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/victor-a610f-id-375?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/A610F-ID%201.png?v=1577309408,in stock,94.09 GBP,42.76 GBP,Victor,1000000011685,Badminton/squash Shoes,
ER/SLINE/PURPLE/44,Eye Rackets S Line Electric Purple Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/eye-rackets-s-line-electric-purple-44?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/eye%20rackets%20lila.png?v=1577309408,in stock,119.75 GBP,71.84 GBP,Eye Rackets,1000000015195,Badminton/squash Shoes,
ER/SLINE/PURPLE/37,Eye Rackets S Line Electric Purple Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/eye-rackets-s-line-electric-purple-37?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/eye%20rackets%20lila.png?v=1577309408,in stock,119.75 GBP,71.84 GBP,Eye Rackets,1000000015249,Badminton/squash Shoes,
ER/SLINE/PURPLE/40,Eye Rackets S Line Electric Purple Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/eye-rackets-s-line-electric-purple-40?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/eye%20rackets%20lila.png?v=1577309408,in stock,119.75 GBP,71.84 GBP,Eye Rackets,1000000012026,Badminton/squash Shoes,
ER/SLINE/BLUE/47,Eye Rackets S Line Lightning Blue Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/eye-rackets-s-line-lightning-blue-47?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/eye%20rackets%20kek.png?v=1577309408,in stock,119.75 GBP,71.84 GBP,Eye Rackets,1000000015256,Badminton/squash Shoes,
ER/SLINE/WHITE/38,Eye Rackets S Line Ice White Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/eye-rackets-s-line-ice-white-38?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/eye%20rackets%20feher.png?v=1577309408,in stock,119.75 GBP,71.84 GBP,Eye Rackets,1000000015140,Badminton/squash Shoes,
ER/SLINE/YELLOW/38,Eye Rackets S Line Neon Yellow Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/eye-rackets-s-line-neon-yellow-38?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/eye%20rackets%20sarga.png?v=1577309408,in stock,119.75 GBP,71.84 GBP,Eye Rackets,1000000015034,Badminton/squash Shoes,
ER/SLINE/YELLOW/46,Eye Rackets S Line Neon Yellow Badminton/squash Shoes,,https://www.onlinebadminton.co.uk/eye-rackets-s-line-neon-yellow-46?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/eye%20rackets%20sarga.png?v=1577309408,in stock,119.75 GBP,71.84 GBP,Eye Rackets,1000000012415,Badminton/squash Shoes,
X7GOLD,RSL Diamond X7 Gold Special Badminton Racket,,https://www.onlinebadminton.co.uk/rsl-diamond-x7-gold-special?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/rsl%20diamond%20x7%20gold%201.png?v=1577309408,in stock,213.83 GBP,106.91 GBP,RSL,5707652210287,Badminton Rackets,
X7CARBON,RSL Diamond X7 Carbon Special Badminton Racket,,https://www.onlinebadminton.co.uk/rsl-diamond-x7-carbon-special?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/rsl%20diamond%20x7%20carbon%201.png?v=1577309408,in stock,213.83 GBP,106.91 GBP,RSL,5707652210300,Badminton Rackets,
EYE/SHORT/L,Eye Rackets Mens Short,,https://www.onlinebadminton.co.uk/eye-rackets-short-l?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/eye%20rackets%20rovidnadrag.png?v=1577309408,in stock,17.11 GBP,,Eye Rackets,1000000013009,Clothing,
400326,Speedminton Blade Speed-Badminton Racket,,https://www.onlinebadminton.co.uk/speedminton-blade?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/speedminton%20blade1.png?v=1577222526,in stock,94.09 GBP,,Speedminton,4260030783267,Badminton Rackets > Speed-Badminton Rackets,
400328,Speedminton Phantom Speed-Badminton Racket,,https://www.onlinebadminton.co.uk/speedminton-phantom?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/speedminton%20phantom1.png?v=1577222526,in stock,102.64 GBP,,Speedminton,4260030783281,Badminton Rackets > Speed-Badminton Rackets,
400327,Speedminton Viper Speed-Badminton Racket,,https://www.onlinebadminton.co.uk/speedminton-viper?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/speedminton%20viper1.png?v=1577309408,in stock,76.98 GBP,,Speedminton,4260030783274,Badminton Rackets > Speed-Badminton Rackets,
158/7/0,Victor IP 10 Squash Racket,,https://www.onlinebadminton.co.uk/victor-ip-10?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20ip10%201.png?v=1577309408,in stock,153.96 GBP,106.91 GBP,Victor,4005543158702,Squash Rackets,
158/6/0,Victor IP 4 Squash Racket,,https://www.onlinebadminton.co.uk/victor-ip-4?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20ip%204%201.png?v=1577309408,in stock,153.96 GBP,106.91 GBP,Victor,4005543158603,Squash Rackets,
648/2/M,Victor T-shirt blue 6488,,https://www.onlinebadminton.co.uk/victor-blue-6488-m?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20blue%206488%201.png?v=1577309408,in stock,21.38 GBP,18.81 GBP,Victor,4005543648265,Clothing,
